SarbMEGA	SbayMEGA	ScerMEGA	SkudMEGA	SmikMEGA	SparMEGA
chrVII_-_55180-55070_2	Sbay7_-_50956-50849_2	chrVII_-_56405-56238_1	Skud7_-_60509-60402_0	Smik7_-_51148-50972_2	chrVII_-_58176-57988_1
chrXIII_-_113796-113704_1	Sbay13_-_120916-120806_0	chrXIII_-_119427-119320_0	Skud13_-_118742-118650_0	Smik13_-_117251-117129_0	chrXIII_-_120038-119946_2
chrXVI_+_471762-471959_0	Sbay16_+_501107-501292_2	chrXVI_+_497739-497963_0	Skud16_+_462722-463060_2	Smik16_+_375089-375220_2	chrXVI_+_525110-525286_2
chrV_+_481045-481221_1	Sbay5_+_485263-485478_1	chrV_+_517648-517785_1	Skud5_+_502679-502816_2	Smik5_+_517079-517378_2	chrV_+_519656-519736_2
chrXV_-_549196-549089_0	Sbay8_-_341762-341604_0	chrXV_-_586605-586495_0	Skud15_-_540664-540557_0	Smik15_-_548025-547912_2	scaffold163_-_9038-8889_0
chrXIII_+_113406-113561_0	Sbay13_+_120482-120640_2	chrXIII_+_119045-119239_2	Skud13_+_118415-118498_2	Smik13_+_116867-117034_2	chrXIII_+_119650-119883_1
chrIX_-_97883-97821_2	Sbay9_-_112713-112651_0	chrIX_-_117936-117874_2	Skud9_-_95031-94969_1	Smik9_-_95782-95720_1	chrIX_-_96683-96621_2
chrXVI_+_81341-81556_2	Sbay16_+_110220-110435_0	chrXVI_+_101235-101450_0	Skud16_+_74774-74989_2	Smik6_-_723089-722874_0	chrXVI_+_132248-132463_2
chrXII_-_184120-183860_2	Sbay10_-_200894-200478_0	chrXII_-_194576-194349_0	Skud12_-_186456-186265_0	Smik12_-_181378-181187_2	chrXII_-_186629-186438_1
chrXVI_-_47025-46900_1	Sbay16_-_75935-75798_1	chrXVI_-_67175-67077_2	Skud16_-_41404-41246_0	Smik6_+_757166-757264_2	chrXVI_-_97855-97751_1
chrIV_-_459771-459655_1	Sbay4_-_421427-421314_1	chrIV_-_428624-428442_0	Skud4_-_423444-423187_0	Smik4_-_410552-410424_2	chrIV_-_441650-441513_2
chrXII_-_399871-399668_2	Sbay10_-_425635-425222_1	chrXII_-_416954-416787_0	Skud12_-_400657-400457_2	Smik12_-_398193-398023_0	chrXII_-_405473-405309_1
chrVII_-_791510-791325_1	Sbay7_-_784345-784190_2	chrVII_-_827310-827236_0	Skud7_-_800765-800691_0	Smik6_-_435026-434952_0	chrVII_+_795152-795226_2
chrIV_-_776832-776716_1	Sbay13_-_540243-540115_1	chrXIII_-_560907-560809_0	Skud13_-_534149-534021_0	Smik13_-_543452-543372_0	chrXIII_-_543512-543429_2
chrIV_+_574036-574497_1	Sbay2_+_355303-355407_1	chrIV_+_555494-555736_2	Skud4_+_531643-531729_1	Smik4_+_522039-522140_0	chrIV_+_561405-561506_0
chrXV_+_849016-849285_1	Sbay8_+_645299-645418_2	chrXV_+_904544-904684_2	Skud15_+_844605-844745_0	Smik15_+_854345-854467_2	chrXV_+_873452-873568_2
chrXV_+_183359-183544_2	Sbay15_+_191388-191555_0	chrXV_+_218869-219021_1	Skud15_+_177982-178239_1	Smik15_+_183044-183253_2	chrXV_+_212222-212410_2
chrVI_+_97777-97884_1	Sbay6_+_63971-64096_2	chrVI_+_90390-90524_0	Skud6_+_93734-93982_2	Smik6_+_105649-105759_1	chrVI_+_120950-121039_2
chrXII_+_680949-681083_0	Sbay10_+_698549-698695_2	chrXII_+_737474-737608_2	Skud12_+_678537-678704_0	Smik12_+_675692-675826_2	chrXII_+_698220-698354_0
chrXIV_-_437711-437544_2	Sbay14_-_446207-446052_1	chrXIV_-_447644-447501_0	Skud14_-_437969-437769_0	Smik14_-_427828-427685_0	chrXIV_-_441557-441405_1
chrXII_+_503723-503968_2	Sbay10_+_520413-520628_0	chrXII_+_547624-547845_1	Skud12_+_494324-494479_2	Smik12_+_494681-494797_2	chrXII_+_519237-519407_0
chrXIII_+_901260-901454_0	Sbay2_+_921949-922164_1	chrIV_+_1165017-1165154_0	Skud4_+_1094022-1094225_0	Smik4_+_1091167-1091304_1	chrIV_-_1025592-1025455_1
chrX_+_516382-516540_1	Sbay12_+_216259-216447_1	chrX_+_538392-538658_0	Skud10_+_496507-496662_1	Smik10_+_527138-527278_2	chrX_+_531729-531941_0
chrVII_+_428952-429032_0	Sbay7_+_428019-428099_0	chrVII_+_437400-437480_0	Skud7_+_439884-439964_0	Smik7_+_428758-428838_1	chrVII_+_436872-436952_0
chrIX_+_73394-73561_2	Sbay9_+_88022-88258_2	chrIX_+_93326-93511_2	Skud9_+_70561-70662_1	Smik9_+_71084-71182_2	chrIX_+_72172-72273_1
chrII_-_647863-647681_0	Sbay4_-_836902-836768_2	chrII_-_666598-666467_1	Skud2_-_635369-635124_2	Smik2_-_652810-652706_1	chrII_-_666936-666805_0
chrIV_+_539803-539874_1	Sbay2_+_320551-320622_1	chrIV_+_509461-509544_1	Skud4_+_501055-501126_1	Smik4_+_490846-490917_1	chrIV_+_523467-523550_0
chrXV_+_812295-812357_0	Sbay8_+_608656-608718_1	chrXV_+_867890-867952_2	Skud15_+_807450-807512_0	Smik15_+_817352-817414_2	chrXV_+_836242-836304_1
chrIV_+_491341-491415_1	Sbay4_+_459132-459224_0	chrIV_+_461306-461461_2	Skud4_+_453057-453143_0	Smik4_+_440783-440863_2	chrIV_+_473983-474138_1
chrIX_-_69213-69040_1	Sbay9_-_83986-83813_2	chrIX_-_89248-89066_1	Skud9_-_66359-66177_2	Smik9_-_66935-66741_0	chrIX_-_68003-67821_2
chrVII_+_782419-782511_1	Sbay7_+_775761-775853_0	chrVII_+_806273-806365_2	Skud7_+_789848-789964_2	Smik6_+_425486-425578_2	chrVII_+_787785-787943_0
chrXV_-_58212-58003_1	Sbay15_-_65534-65325_2	chrXV_-_87957-87748_0	Skud15_-_53063-52854_2	Smik15_-_56008-55799_1	chrXV_-_86349-86143_1
chrIV_-_442852-442790_0	Sbay4_-_403893-403831_0	chrIV_-_413110-413024_1	Skud4_-_406141-406064_2	Smik4_-_393633-393568_1	chrIV_-_426048-425983_1
chrXVI_-_765193-764945_0	Sbay16_-_800111-800022_1	chrXVI_-_797783-797643_2	Skud16_-_757330-757016_0	Smik16_-_675058-674927_0	chrXVI_-_831259-831185_1
chrXI_-_320702-320451_2	Sbay11_-_319317-319168_0	chrXI_-_336473-336354_2	Skud11_-_316159-315989_2	Smik11_-_322843-322592_0	chrXI_-_349145-348843_2
chrIV_+_226923-227027_0	Sbay4_+_186255-186359_0	chrIV_+_198405-198590_0	Skud4_+_194044-194139_1	Smik4_+_175301-175459_2	chrIV_+_206742-206987_0
chrXIV_+_514938-515048_0	Sbay14_+_522230-522397_2	chrXIV_+_529577-529723_2	Skud14_+_513645-513782_0	Smik14_+_503667-503789_0	chrXIV_+_517427-517576_2
chrXI_-_158258-158115_2	Sbay11_-_157551-157264_0	chrXI_-_171544-171305_0	Skud11_-_157596-157393_0	Smik11_-_157413-157237_1	chrXI_-_180551-180339_2
chrXIII_+_1089645-1089806_0	Sbay2_+_1112482-1112643_1	chrIV_+_1360707-1360868_0	Skud4_+_1280759-1280917_2	Smik4_+_1282006-1282167_1	chrIV_+_1350285-1350446_0
chrVII_-_821610-821338_0	Sbay7_-_813043-812774_2	chrVII_-_855466-855173_2	Skud7_-_829415-829122_0	Smik6_-_463320-463027_2	chrVII_-_827968-827699_0
chrXV_+_44659-44838_1	Sbay15_+_52173-52346_0	chrXV_+_74225-74437_2	Skud15_+_39595-39747_1	Smik15_+_42303-42563_0	chrXV_+_72627-72824_0
chrXIII_+_670713-670823_0	Sbay2_+_694778-694915_2	chrIV_+_915051-915221_0	Skud4_+_869215-869370_1	Smik4_+_858971-859105_2	chrIV_+_897500-897637_2
chrXVI_-_658049-657945_2	Sbay16_-_692668-692396_2	chrXVI_-_685709-685539_2	Skud16_-_650541-650407_1	Smik16_-_562441-562307_0	chrXVI_-_714748-714581_1
chrX_-_516509-516360_2	Sbay12_-_216389-216255_2	chrX_-_538630-538472_2	Skud10_-_496652-496467_0	Smik10_-_527301-527125_0	chrX_-_531853-531725_2
chrIV_+_809054-809227_2	Sbay13_+_572869-573021_1	chrXIII_+_592753-592884_1	Skud13_+_567076-567192_1	Smik13_+_577319-577384_2	chrXIII_+_577554-577661_0
chrXIV_-_95827-95723_0	Sbay14_-_103680-103414_0	chrXIV_-_109179-109006_2	Skud14_-_97787-97629_0	Smik14_-_88108-87929_0	chrXIV_-_100100-99927_1
chrXII_+_423497-423628_2	Sbay10_+_450250-450339_1	chrXII_+_439936-440196_1	Skud12_+_423806-423910_2	Smik12_+_422648-422761_2	chrXII_+_428921-429028_2
chrXV_+_894302-894445_2	Sbay8_+_690837-690986_0	chrXV_+_949051-949194_1	Skud15_+_889061-889219_2	Smik15_+_898652-898840_2	chrXV_+_918049-918192_1
chrXIV_-_709368-709123_1	Sbay14_-_715199-715092_1	chrXIV_-_730477-730355_1	Skud14_-_698494-698396_1	Smik14_-_687263-687120_2	chrXIV_-_717745-717617_2
chrVII_-_679965-679723_0	Sbay7_-_674413-674186_2	chrVII_-_698712-698512_0	Skud7_-_682778-682677_0	Smik6_-_322074-321910_2	chrVII_-_683663-683502_2
chrIV_+_776022-776312_0	Sbay13_+_539416-539706_1	chrXIII_+_560156-560365_2	Skud13_+_533421-533630_0	Smik13_+_542725-542931_1	chrXIII_+_542749-543105_1
chrXI_-_152034-151888_1	Sbay11_-_150754-150614_2	chrXI_-_164664-164554_1	Skud11_-_150804-150652_0	Smik11_-_150569-150456_2	chrXI_-_173679-173377_1
chrXII_+_863578-863775_1	Sbay10_+_887328-887513_0	chrXII_+_921705-921800_0	Skud12_+_861940-862041_1	Smik12_+_860418-860519_0	chrXII_+_884197-884277_1
chrVII_-_341849-341709_1	Sbay7_-_339140-339042_1	chrVII_-_346335-346180_0	Skud7_-_349513-349400_1	Smik7_-_340688-340572_1	chrVII_-_346168-346085_0
chrXII_-_137476-137402_2	Sbay10_-_152689-152615_1	chrXII_-_147808-147725_1	Skud12_-_139075-139001_2	Smik12_-_134804-134730_1	chrXII_-_139034-138957_1
chrVI_+_251096-251209_2	Sbay12_-_11117-10977_2	chrVI_+_248409-248522_0	Skud6_+_243401-243514_2	Smik7_+_609206-609334_2	chrVI_+_273969-274088_0
chrXVI_-_334068-333889_1	Sbay16_-_362318-362112_1	chrXVI_-_352484-352371_2	Skud16_-_324077-323808_2	Smik16_-_235803-235690_1	chrXVI_-_384538-384428_1
chrXI_+_158136-158219_0	Sbay11_+_157435-157518_1	chrXI_+_171368-171442_2	Skud11_+_157480-157563_1	Smik11_+_157291-157374_1	chrXI_+_180393-180476_0
chrVIII_-_44272-44186_0	Sbay8_-_34732-34658_1	chrVIII_-_33163-33074_2	Skud8_-_21192-21067_1	Smik8_-_16816-16742_0	chrVIII_-_22550-22464_2
chrVII_-_362017-361844_2	Sbay7_-_359358-359272_0	chrVII_-_366539-366399_1	Skud7_-_369807-369634_2	Smik7_-_360915-360811_0	chrVII_-_366595-366446_0
chrXIII_-_140190-139987_1	Sbay13_-_150035-149832_2	chrXIII_-_147309-147130_0	Skud13_-_145448-145215_0	Smik13_-_144866-144633_0	chrXIII_-_148317-148108_1
chrXVI_+_836442-836597_0	Sbay16_+_870310-870462_1	chrXVI_+_887797-887925_1	Skud16_+_830255-830410_2	Smik16_+_750436-750645_1	chrXVI_+_904025-904180_2
chrII_-_668203-668012_0	Sbay4_-_857113-856916_2	chrII_-_686806-686618_1	Skud2_-_655544-655377_2	Smik2_-_672939-672760_2	chrII_-_687127-686987_2
chrII_+_349803-349916_0	Sbay4_+_537833-537946_2	chrII_+_370909-371037_1	Skud2_+_339199-339420_1	Smik2_+_352799-352927_2	chrII_+_361969-362097_1
chrXII_+_590473-590652_1	Sbay10_+_607186-607305_1	chrXII_+_639961-640062_1	Skud12_+_586535-586639_2	Smik12_+_584777-584881_2	chrXII_+_606057-606158_0
chrVII_+_785702-785902_2	Sbay7_+_779094-779237_0	chrVII_+_809674-809865_1	Skud7_+_793172-793342_2	Smik6_+_428859-428975_0	chrVII_+_791136-791276_0
chrXI_+_96636-96710_0	Sbay11_+_94972-95046_1	chrXI_+_110154-110228_0	Skud11_+_96683-96835_2	Smik11_+_95648-95722_2	chrXI_+_117253-117327_1
chrXV_+_414099-414170_0	Sbay8_+_209871-209993_0	chrXV_+_447029-447097_2	Skud15_+_408894-408965_0	Smik15_+_413070-413138_0	chrXV_+_445039-445107_1
chrVII_+_785606-785701_2	Sbay7_+_779013-779093_0	chrVII_+_809593-809673_1	Skud7_+_793091-793171_2	Smik6_+_428709-428789_0	chrVII_+_791055-791135_0
chrII_+_462028-462267_1	Sbay4_+_652039-652350_1	chrII_+_483311-483505_2	Skud2_+_450836-451093_2	Smik2_+_468011-468202_2	chrII_+_474949-475161_1
chrVII_+_274572-274985_0	Sbay7_+_273492-273800_0	chrVII_+_277341-277613_0	Skud7_+_281799-281897_0	Smik7_+_271479-271664_0	chrVII_+_277479-277580_0
chrIX_-_230162-230016_2	Sbay9_-_244662-244579_0	chrIX_-_255990-255895_2	Skud9_-_224909-224820_2	Smik9_-_230153-230061_0	chrIX_-_228974-228882_2
chrVII_-_822938-822810_1	Sbay7_-_814642-814184_2	chrVII_-_856786-856652_2	Skud7_-_830695-830549_1	Smik6_-_464635-464474_1	chrVII_-_829278-829114_1
chrXII_-_353555-353307_1	Sbay10_-_378833-378630_0	chrXII_-_370456-370280_1	Skud12_-_353214-353002_0	Smik12_-_350841-350290_0	chrXII_-_357298-356981_2
chrII_+_208506-208700_0	Sbay2_+_210308-210469_2	chrII_+_216271-216432_1	Skud2_+_199678-199854_1	Smik2_+_209136-209294_0	chrII_+_215362-215520_1
chrII_-_349827-349618_1	Sbay4_-_537857-537777_1	chrII_-_370933-370853_1	Skud2_-_339328-339248_0	Smik2_-_352823-352743_0	chrII_-_361993-361913_2
chrIV_+_338947-339039_1	Sbay4_+_299502-299621_0	chrIV_+_310119-310211_0	Skud4_+_305629-305721_1	Smik4_+_286571-286819_2	chrIV_+_319208-319345_2
chrIV_+_123554-123625_2	Sbay4_+_82666-82872_1	chrIV_+_94430-94525_2	Skud4_+_91677-91760_0	Smik4_+_72629-72712_2	chrIV_+_103615-103701_1
chrXII_+_213473-213619_2	Sbay10_+_232121-232300_2	chrXII_+_230596-230742_1	Skud12_+_215444-215605_2	Smik12_+_211720-211902_1	chrXII_+_217142-217300_2
chrII_+_154595-154780_2	Sbay2_+_164274-164456_0	chrII_+_164156-164368_2	Skud2_+_148002-148202_0	Smik2_+_157932-158204_0	chrII_+_159285-159470_0
chrXIV_+_516929-517009_2	Sbay14_+_524217-524282_0	chrXIV_+_531562-531642_1	Skud14_+_515602-515682_1	Smik14_+_505647-505727_0	chrXIV_+_519397-519477_1
chrXI_-_96675-96601_1	Sbay11_-_95011-94937_2	chrXI_-_110193-110083_1	Skud11_-_96722-96612_1	Smik11_-_95687-95577_2	chrXI_-_117292-117218_0
chrXIII_-_214391-214257_2	Sbay13_-_221604-221329_1	chrXIII_-_231225-230980_0	Skud13_-_217591-217379_1	Smik13_-_220020-219817_2	chrXIII_-_220470-220090_1
chrXV_-_93158-93024_2	Sbay15_-_101293-101153_0	chrXV_-_128189-128094_1	Skud15_-_87547-87452_0	Smik15_-_91312-91202_1	chrXV_-_121412-121329_2
chrIV_-_163063-162869_0	Sbay4_-_122068-121994_2	chrIV_-_134958-134848_2	Skud4_-_131025-130900_0	Smik4_-_111903-111793_1	chrIV_-_143466-143356_1
chrXIV_-_437616-437392_1	Sbay14_-_446109-445918_0	chrXIV_-_447558-447361_2	Skud14_-_437823-437650_2	Smik14_-_427742-427566_2	chrXIV_-_441462-441265_0
chrIV_+_537611-537691_2	Sbay2_+_318285-318419_0	chrIV_+_507189-507353_0	Skud4_+_498869-498949_2	Smik4_+_488620-488733_1	chrIV_+_521250-521360_0
chrXIV_-_97435-97280_0	Sbay14_-_105237-105079_0	chrXIV_-_110668-110576_1	Skud14_-_99275-99186_0	Smik14_-_89668-89474_0	chrXIV_-_101662-101501_2
chrVII_-_446936-446730_1	Sbay7_-_445592-445407_1	chrVII_-_454750-454586_2	Skud7_-_457880-457692_0	Smik7_-_446748-446569_0	chrVII_-_454598-454419_2
chrXII_+_681148-681297_1	Sbay10_+_698752-698841_1	chrXII_+_737673-737822_0	Skud12_+_678757-678885_1	Smik12_+_675885-676211_0	chrXII_+_698421-698690_0
chrVI_-_131768-131667_0	Sbay6_-_95167-95087_1	chrVI_-_123294-123208_0	Skud6_-_125494-125414_1	Smik6_-_136506-136396_2	chrVI_-_154715-154587_0
chrXII_-_349404-349279_0	Sbay10_-_374813-374496_0	chrXII_-_366414-366229_2	Skud12_-_349135-348962_2	Smik12_-_346435-346307_2	chrXII_-_353139-353008_0
chrXV_-_811529-811389_2	Sbay8_-_607854-607753_2	chrXV_-_867139-867017_2	Skud15_-_806697-806563_1	Smik15_-_816611-816471_0	chrXV_-_835484-835344_2
chrV_+_76657-76719_1	Sbay5_+_75578-75682_2	chrV_+_101847-101909_0	Skud5_+_101235-101297_0	Smik5_+_107824-107892_1	chrV_+_78155-78217_2
chrIX_-_389607-389482_1	Sbay9_-_401180-401055_1	chrIX_-_415995-415888_2	Skud9_-_383730-383560_1	Smik9_-_389495-389436_0	chrIX_-_392566-392390_0
chrXII_-_590564-590502_1	Sbay10_-_607280-607215_0	chrXII_-_640058-639987_0	Skud12_-_586635-586564_0	Smik12_-_584877-584806_0	chrXII_-_606154-606083_2
chrI_+_117012-117155_0	Sbay1_+_120381-120470_0	chrI_+_143338-143478_1	Skud1_+_118384-118506_1	Smik1_+_126520-126585_1	chrI_+_119275-119400_1
chrXI_-_418432-418352_0	Sbay11_-_416924-416775_1	chrXI_-_432786-432670_1	Skud11_-_413708-413514_1	Smik11_-_419780-419664_2	chrXI_-_446750-446634_2
chrX_+_126092-126160_2	Sbay6_-_410455-410387_1	chrX_+_139464-139634_0	Skud10_+_114730-114798_1	Smik10_+_137389-137457_1	chrX_+_139423-139491_1
chrVIII_+_88164-88271_0	Sbay8_+_77884-77991_1	chrVIII_+_75898-75960_1	Skud8_+_63823-63993_1	Smik8_+_59603-59665_2	chrVIII_+_65389-65559_1
chrXIII_-_286165-285971_0	Sbay13_-_293115-293020_1	chrXIII_-_302849-302553_1	Skud13_-_289214-289008_0	Smik13_-_294419-294276_0	chrXIII_-_293578-293423_0
